ARREST_DATE,YEAR,MONTH,F,M,V,TOTAL,FELONY_RATIO,OPACITY
2006-03-02,2006,3,323,731,50,1104,0.29257246376811600,0.29257246376811600
2006-03-03,2006,3,373,806,51,1230,0.3032520325203250,0.3032520325203250
2006-03-04,2006,3,228,670,56,954,0.2389937106918240,0.2389937106918240
2006-03-05,2006,3,164,497,53,714,0.22969187675070000,0.22969187675070000
2006-03-06,2006,3,234,635,57,926,0.2526997840172790,0.2526997840172790
2006-03-07,2006,3,306,872,53,1231,0.24857839155158400,0.24857839155158400
2006-03-08,2006,3,364,974,66,1404,0.25925925925925900,0.25925925925925900
2006-03-09,2006,3,393,887,64,1344,0.2924107142857140,0.2924107142857140
2006-03-10,2006,3,371,813,71,1255,0.29561752988047800,0.29561752988047800
2006-03-11,2006,3,262,697,72,1031,0.2541222114451990,0.2541222114451990
2006-03-12,2006,3,180,399,48,627,0.28708133971291900,0.28708133971291900
2006-03-13,2006,3,255,638,57,950,0.26842105263157900,0.26842105263157900
2006-03-14,2006,3,295,827,56,1178,0.25042444821731700,0.25042444821731700
2006-03-15,2006,3,380,961,78,1419,0.2677942212825930,0.2677942212825930
2006-03-16,2006,3,353,905,70,1328,0.26581325301204800,0.26581325301204800
2006-03-17,2006,3,241,680,47,968,0.24896694214876000,0.24896694214876000
2006-03-18,2006,3,255,619,41,915,0.2786885245901640,0.2786885245901640
2006-03-19,2006,3,144,495,38,677,0.21270310192023600,0.21270310192023600
2006-03-20,2006,3,244,656,52,952,0.25630252100840300,0.25630252100840300
2006-03-21,2006,3,341,837,49,1227,0.27791361043194800,0.27791361043194800
2006-03-22,2006,3,383,933,66,1382,0.2771345875542690,0.2771345875542690
2006-03-23,2006,3,346,868,71,1285,0.26926070038910500,0.26926070038910500
2006-03-24,2006,3,371,753,58,1182,0.31387478849407800,0.31387478849407800
2006-03-25,2006,3,230,640,52,922,0.24945770065075900,0.24945770065075900
2006-03-26,2006,3,163,454,51,668,0.2440119760479040,0.2440119760479040
2006-03-27,2006,3,199,576,44,819,0.24297924297924300,0.24297924297924300
2006-03-28,2006,3,341,782,59,1182,0.28849407783417900,0.28849407783417900
2006-03-29,2006,3,370,893,64,1327,0.2788244159758860,0.2788244159758860
2006-03-30,2006,3,323,795,69,1187,0.2721145745577090,0.2721145745577090
2006-03-31,2006,3,252,677,67,996,0.25301204819277100,0.25301204819277100
